ncaa_id,team,player_id,name,jersey,height_ft,height_in,position_clean,year_clean,redshirt,hometown_clean,state_clean,country_clean
236,Fordham,11888,Rose Nelson,10,6,1,FORWARD,Freshman,0,"WALLACIA, AUSTRALIA",,AUSTRALIA
236,Fordham,11889,Ashley O'Connor,11,5,9,GUARD,Freshman,0,"SEA BRIGHT, NJ",NJ,USA
236,Fordham,11890,Faith Pappas,5,5,11,GUARD,Freshman,0,"LONG VALLEY, NJ",NJ,USA
609,Saint Louis,11901,Camree Clegg,2,5,5,GUARD,Graduate Student,0,"WESTLAND, MICH",MI,USA
236,Fordham,12001,Jada Dapaa,21,5,11,FORWARD,Graduate Student,0,"NORTH BETHESDA, MD",MD,USA
559,Purdue,12020,Kate Rudini,4,5,9,GUARD,Freshman,0,"TRUMBULL, CONN",CT,USA
369,Loyola-Maryland,12020,Caroline Orza,21,5,9,GUARD,Freshman,0,"CHEVY CHASE, MD",MD,USA
650,South Dakota,12024,Cassidy Carson,25,6,1,GUARD,Freshman,1,"EAGAN, MINN",MN,USA
650,South Dakota,12025,Carley Duffney,20,5,10,FORWARD,Freshman,1,"GREEN BAY, WIS",WI,USA
650,South Dakota,12026,Macy Guebert,3,5,8,GUARD,Senior,0,"APPLE VALLEY, MINN",MN,USA
650,South Dakota,12027,Morgan Hansen,10,6,0,FORWARD,Sophomore,0,"SIOUX FALLS, SD",SD,USA
650,South Dakota,12028,Alexi Hempe,41,6,0,FORWARD,Sophomore,1,"FREDERICKSBURG, VA",VA,USA
650,South Dakota,12030,Grace Larkins,21,5,9,GUARD,Sophomore,0,"ALTOONA, IOWA",IA,USA
650,South Dakota,12031,Natalie Mazurek,23,6,2,CENTER,Sophomore,0,"EDEN PRAIRIE, MINN",MN,USA
650,South Dakota,12032,Allison Peplowski,35,6,1,FORWARD,Senior,0,"WILLIAMSTON, MICH",MI,USA
650,South Dakota,12033,Jeniah Ugofsky,30,5,10,FORWARD,Senior,0,"HARRISBURG, SD",SD,USA
650,South Dakota,12036,Joy Bergstrom,22,5,9,GUARD,Freshman,0,"MOUNT PROSPECT, ILL",IL,USA
650,South Dakota,12039,Walker Demers,24,6,1,CENTER,Freshman,0,"GRAFTON, ND",ND,USA
650,South Dakota,12046,Nicole Avila-Ambrosi,2,5,8,GUARD,Sophomore,0,"OMAHA, NEB",NE,USA
650,South Dakota,12047,Sophie Haydon,33,6,1,FORWARD,Sophomore,0,"SHOREWOOD, MINN",MN,USA
754,Washington State,12058,Jessica Clarke,14,6,4,CENTER,Junior,0,"NORTH VANCOUVER, CANADA",,CANADA
754,Washington State,12059,Charlisse Leger-Walker,5,5,10,GUARD,Junior,0,"WAIKATO, NEW ZEALAND",,NEW ZEALAND
754,Washington State,12060,Ula Motuga,15,6,1,FORWARD,Fifth Year,0,"LOGAN, AUSTRALIA",,AUSTRALIA
754,Washington State,12061,Bella Murekatete,55,6,3,CENTER,Senior,0,"BUTARE HUYE, RWANDA",,RWANDA
754,Washington State,12062,Emma Nankervis,3,6,3,CENTER,Senior,0,"MOUNT ELIZA, AUSTRALIA",,AUSTRALIA
754,Washington State,12063,Grace Sarver,20,5,8,GUARD,Senior,0,"SEATTLE, WASH",WA,USA
754,Washington State,12064,Johanna Teder,21,5,8,GUARD,Senior,0,"TARTU, ESTONIA",,ESTONIA
754,Washington State,12065,Tara Wallack,1,6,2,GUARD,Sophomore,0,"SOUTH SURREY, CANADA",,CANADA
